barcode,price,Stock,name,product_code,Image1,Image2,Image3,Image4,Image5,product_id
8697603650439,83.83,31,Andız Pekmezi Cam Kavanoz 450 Gr,Lokman-34153,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/andiz-pekmezi-450gr-3724.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/andiz-pekmezi-450gr-3725.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/andiz-pekmezi-450gr-3726.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/andiz-pekmezi-450gr-13109.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/andiz-pekmezi-450gr-13110.jpg,8
8697603650736,63.63,17,Nar Ekşili Sos Pet Şişe 500 Gr,Lokman-34127,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksili-sos-500gr-5135.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksili-sos-500gr-5136.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksili-sos-500gr-5137.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksili-sos-500gr-16747.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksili-sos-500gr-16748.jpg,9
8697603650774,83.83,16,Nar Ekşisi Natural Cam Şişe 300 Gr,Lokman-34129,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-natural-300gr-3733.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-natural-300gr-3734.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-natural-300gr-3735.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-natural-300gr-14526.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-natural-300gr-14527.jpg,11
8697451925024,67.67,29,Nar Ekşisi Sosu Pet Şişe 1000 ML,LOKMAN-9000,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-sosu-1000ml-4171.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-sosu-1000ml-4172.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-sosu-1000ml-4173.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-sosu-1000ml-16049.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/nar-eksisi-sosu-1000ml-16050.jpg,12
8697958021106,105.04,46,Keçiboynuzu Pekmezi Harnup Pekmezi Cam Kavanoz 800 Gr,Lokman-70001,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/keciboynuzu-harnup-pekmezi-800gr-4692.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/keciboynuzu-harnup-pekmezi-800gr-4693.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/keciboynuzu-harnup-pekmezi-800gr-4694.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/keciboynuzu-harnup-pekmezi-800gr-13201.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/keciboynuzu-harnup-pekmezi-800gr-13202.jpg,14
8680057300029,75.65,27,Bitkisel Karışım 10 ML,LokmanAVM-100743X01,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/black-berry-bitkisel-karisim-10ml-3692.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/black-berry-bitkisel-karisim-10ml-3693.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/black-berry-bitkisel-karisim-10ml-3694.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/black-berry-bitkisel-karisim-10ml-3695.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/bitkisel-karisim-10-ml-16155.jpg,17
8697603637249,108.07,5,Enginarlı Karışık Bitkisel Çay 100 Gr Teneke Kutu,Lokman-34095,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/enginarli-karisik-cay-100gr-tnk-3736.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/enginarli-karisik-cay-100gr-tnk-3737.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/enginarli-karisik-cay-100gr-tnk-3738.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/enginarli-karisik-bitkisel-cay-100gr-tnk-12945.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/enginarli-karisik-bitkisel-cay-100gr-tnk-12946.jpg,18
8697603635740,108.07,6,Kara Halileli Karışık Bitkisel Çay 100Gr Teneke Kutu,Lokman-34096,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kara-halileli-karisik-cay-100gr-tnk-3739.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kara-halileli-karisik-cay-100gr-tnk-3740.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kara-halileli-karisik-cay-100gr-tnk-3741.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kara-halileli-karisik-bitkisel-cay-100gr-tnk-13521.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/kara-halileli-karisik-bitkisel-cay-100gr-tnk-13522.jpg,19
8697603637645,101,3,Rezeneli Karışık Bitkisel Çay 100 Gr Teneke Kutu,Lokman-34097,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/rezeneli-karisik-cay-100gr-tnk-3742.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/rezeneli-karisik-cay-100gr-tnk-3743.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/rezeneli-karisik-cay-100gr-tnk-3744.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/rezeneli-karisik-bitkisel-cay-100gr-tnk-13518.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/rezeneli-karisik-bitkisel-cay-100gr-tnk-13519.jpg,20
8697603637447,108.07,7,Isırganlı Karışık Bitkisel Çay 100 Gr Teneke Kutu,Lokman-34094,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/isirganli-karisik-cay-100gr-tnk-3745.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/isirganli-karisik-cay-100gr-tnk-3746.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/isirganli-karisik-cay-100gr-tnk-3747.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/isirganli-karisik-bitkisel-cay-100gr-tnk-13515.jpg,http://cdn1.xmlbankasi.com/p1/lokman/image/data/resimler/isirganli-karisik-bitkisel-cay-100gr-tnk-13516.jpg,22
